brand,model,processor,ram_size,storage_size,gpu,motherboard,unit_price
lenovo,82rk00vtin_slim,i3,8_gb,512_gb,integrated,No,33999
lenovo,wuxga_slim,i5,8_gb,512_gb,integrated,No,63999
lenovo,83eq0073in_12th,i5,16_gb,512_gb,integrated,No,47999
hp,hp_pavilion,i7,16_gb,1_tb,intel_iris,No,73490
asus,vivobook_16x,i9,16_gb,1_tb,nvidia_geforce,No,57890
dell,16n0123ax_hp,ryzen_7,8_gb,1_tb,rtx,No,1029990
lenovo,yoga_slim,i5,16_gb,512_gb,integrated,No,155500
hp,hp_pavilion,i7,16_gb,1_tb,intel_iris,No,71490
dell,inspiron_13th,i7,16_gb,512_gb,integrated,No,65490
dell,5330_inspiron,ultra_7,16_gb,512_gb,integrated,No,96000
dell,5330_inspiron,ultra_5,16_gb,512_gb,integrated,No,83000
hp,250_g10,i5,16_gb,512_gb,integrated,No,46500
lenovo,legion_5,i5,8_gb,512_gb,rtx,No,71990
dell,vostro_3425,ryzen_3,8_gb,256_gb,integrated,No,36990
asus,vivobook_s,i5,8_gb,512_gb,integrated,No,59990
asus,x543magq1015t_asus,dual_core,6_gb,1_tb,integrated,No,25990
dell,inspiron_5430,i7,16_gb,1_tb,integrated,No,84990
lenovo,thinkpad_e14,i7,16_gb,1_tb,integrated,No,99990
asus,g713rchx021w_rog,ryzen_7,16_gb,512_gb,rtx,No,90990
lenovo,thinkbook_15,i5,8_gb,512_gb,integrated,No,58990
dell,inspiron_3520,i5,8_gb,1_tb,integrated,No,60490
asus,tuf_gaming,i5,6_gb,512_gb,integrated,No,50890
dell,xps_13,i5,8_gb,512_gb,integrated,No,121039
lenovo,ideapad_slim,i5,16_gb,512_gb,integrated,No,55490
asus,g713rchx021w_rog,ryzen_7,16_gb,512_gb,rtx,No,90970
lenovo,thnkpad_e14,i5,16_gb,512_gb,integrated,No,68590
dell,vostro_3420,i5,8_gb,512_gb,integrated,No,59990
lenovo,thnkpad_e14,i5,16_gb,512_gb,integrated,No,68599
asus,x1605zacmb541ws_asus,i5,16_gb,512_gb,integrated,Yes,53899
lenovo,thnkpad_e14,i5,16_gb,512_gb,integrated,No,72500
hp,hp_laptop,i5,6_gb,512_gb,integrated,No,69990
lenovo,ideapad_slim,ultra_5,16_gb,512_gb,integrated,No,72490
hp,14dv0058tu_i711th,i7,16_gb,1_tb,integrated,No,76500
asus,s5504vama943ws_vivobook,i9,16_gb,512_gb,integrated,No,96490
hp,hp_laptop,i5,16_gb,512_gb,integrated,No,64990
asus,rog_zephyrus,ryzen_9,32_gb,2_tb,rtx,No,429990
lenovo,ideapad_gaming,i5,16_gb,512_gb,rtx,No,105890
dell,inspiron_3520,i5,8_gb,1_tb,integrated,No,54490
lenovo,81wb01e9in_4,i5,8_gb,1_tb,integrated,No,39390
asus,rog_strix,ryzen_7,16_gb,1_tb,rtx,No,100590
lenovo,thinkpad_e14,i5,16_gb,1_tb,integrated,No,73990
asus,e1404fank325ws_asus,ryzen_3,8_gb,512_gb,integrated,No,33990
hp,hp_laptop,i7,16_gb,512_gb,integrated,No,70299
asus,x1502zaej322ws_asus,i3,8_gb,512_gb,integrated,No,32790
hp,hp_laptop,i7,16_gb,512_gb,rtx,No,69499
hp,hp_laptop,i5,16_gb,512_gb,rtx,No,74499
lenovo,yoga_7,i7,16_gb,512_gb,integrated,No,112990
dell,vostro_3420,i3,16_gb,512_gb,intel_uhd,No,36990
asus,tuf_gaming,ryzen_9,16_gb,512_gb,rtx,No,99590
lenovo,lenovo_thinkpad,i7,16_gb,512_gb,integrated,No,72490
dell,vostro_3510,i5,8_gb,1_tb,integrated,No,70590
asus,vivobook_14x,i5,16_gb,512_gb,rtx,No,59950
lenovo,ideapad_gaming,i5,16_gb,512_gb,rtx,No,74990
lenovo,v15_intel,celeron,8_gb,256_gb,integrated,No,28390
asus,vivobook_16x,i5,16_gb,512_gb,nvidia_geforce,Yes,71990
dell,inspiron_3520,i5,8_gb,1_tb,integrated,No,61000
asus,x1605zacmb541ws_asus,i5,16_gb,512_gb,integrated,Yes,53490
dell,latitude_3420,i5,8_gb,512_gb,integrated,No,53500
hp,fc0026au_hp,ryzen_3,8_gb,512_gb,integrated,No,31450
lenovo,yoga_slim,i7,16_gb,1_tb,integrated,No,115490
dell,xps_9315,i5,16_gb,512_gb,integrated,No,129990
lenovo,yoga_slim,i5,16_gb,512_gb,integrated,No,69990
hp,14sdy5005tu_laptop,i5,16_gb,512_gb,integrated,No,59590
msi,b12vgk672in_msi,i7,6_gb,512_gb,integrated,No,137990
dell,3440_,i3,8_gb,512_gb,integrated,No,27000
dell,3440_latitute,i5,8_gb,512_gb,integrated,No,51400
hp,hp_laptop,i7,16_gb,512_gb,rtx,No,70399
hp,hp_laptop,i5,16_gb,512_gb,rtx,No,72500
hp,fy5006tu_hp,i5,8_gb,512_gb,integrated,No,33999
lenovo,lenovo_v15,ryzen_5,8_gb,512_gb,integrated,No,24990
lenovo,lenovo_v14,i5,16_gb,512_gb,integrated,No,37990
hp,fq5329tu_hp,i5,8_gb,512_gb,integrated,No,45022
dell,oin353510021rinb1m_dell,i5,8_gb,512_gb,integrated,No,39490
lenovo,thinkpad_e16,i5,16_gb,512_gb,integrated,No,66490
lenovo,thinkpad_p14s,i7,16_gb,1_tb,integrated,No,16990
lenovo,ideapad_intel,i5,16_gb,512_gb,rtx,No,69999
dell,vostro_3510,i5,8_gb,1_tb,integrated,No,52490
dell,vostro_dell,i5,8_gb,512_gb,integrated,No,54990
apple,mphg3hna_14inch,m2,2_gb,1_tb,integrated,No,309900
lenovo,thinkpad_e14,i7,16_gb,1_tb,integrated,No,9990
asus,rog_strix,ryzen_7,16_gb,512_gb,rtx,No,87990
dell,vostro_15,i3,8_gb,512_gb,integrated,No,33890
asus,zenbook_pro,i5,16_gb,1_tb,nvidia_geforce,No,207990
lenovo,ideapad_3,i7,16_gb,512_gb,integrated,No,58190
hp,victus_gaming,i5,16_gb,1_tb,rtx,No,66690
acer,al_1552,i3,8_gb,512_gb,integrated,No,44899
hp,15fa1332tx_i713th,i7,16_gb,1_tb,rtx,No,88790
hp,omen_gaming,ryzen_7,16_gb,1_tb,rtx,No,81490
dell,inspiron_5330,i7,16_gb,1_tb,integrated,No,98990
dell,inspiron_3530,i7,16_gb,512_gb,integrated,No,65990
hp,14sdq5138tu_hp,i3,8_gb,512_gb,integrated,No,38490
lenovo,thinkbook_15,ryzen_7,16_gb,512_gb,integrated,No,57990
lenovo,thinkpad_l14,i5,16_gb,512_gb,integrated,No,67900
hp,fd_0129,i3,8_gb,512_gb,intel_uhd,No,36000
dell,3440_,i3,8_gb,512_gb,integrated,No,27300
hp,250_rg9,i3,8_gb,512_gb,integrated,No,28600
dell,5410_i5,i5,8_gb,256_gb,integrated,No,16500
hp,hp_fd0061tu,i3,8_gb,512_gb,integrated,No,34500
asus,tuff_gaming,ryzen_7,16_gb,512_gb,nvidia_geforce,No,63800
hp,250_rg,i3,8_gb,512_gb,integrated,No,28000
hp,fq5329_tu,i5,8_gb,512_gb,integrated,No,42500
lenovo,v14_lenovo,i3,8_gb,512_gb,integrated,No,27600
msi,thin_15,i5,16_gb,512_gb,integrated,No,59490
lenovo,ideapad_slim,i7,8_gb,512_gb,integrated,No,64490
dell,laptop_dell,i7,8_gb,1_tb,rtx,No,110000
lenovo,e14_gen5,i7,16_gb,512_gb,integrated,No,93490
hp,250_rg9,i3,8_gb,512_gb,integrated,No,28700
dell,vosto3520_i512th,i5,8_gb,512_gb,integrated,No,43000
dell,vostro_3520,i3,8_gb,512_gb,integrated,No,31000
hp,fd1099tu_hp,ryzen_5,16_gb,512_gb,integrated,No,67490
dell,inspiron_7440,i7,16_gb,512_gb,integrated,No,74490
dell,inspiron_3530,i7,16_gb,512_gb,integrated,No,65490
dell,vostro_15,i3,8_gb,512_gb,integrated,No,33990
dell,vostro_15,i5,8_gb,512_gb,integrated,No,45990
hp,fc0026au_hp,ryzen_3,8_gb,512_gb,integrated,No,31430
dell,inspiron_3535,ryzen_5,8_gb,512_gb,integrated,No,38990
hp,fd0467tu_hp,i5,16_gb,512_gb,integrated,No,57990
hp,hp_pavilion,i7,16_gb,1_tb,intel_iris,No,72990
dell,inspiron_3530,i7,16_gb,512_gb,integrated,No,65999
hp,2015_tu,i7,16_gb,1_tb,intel_iris,No,71900
hp,250_rg9,i3,8_gb,512_gb,integrated,No,28800
dell,3440_latitute,i5,8_gb,512_gb,integrated,No,44000
lenovo,v14_lenovo,i5,8_gb,512_gb,integrated,No,31999
dell,3440_latitute,i3,8_gb,512_gb,integrated,No,27500
dell,3520_vostro,i3,8_gb,512_gb,integrated,No,31000
hp,fa_1310,i5,8_gb,512_gb,nvidia_geforce,No,53500
hp,0070_tu,i5,8_gb,512_gb,integrated,No,43000
dell,3440_latitute,i5,8_gb,512_gb,integrated,No,63553
lenovo,think_pad,i5,8_gb,512_gb,integrated,No,63500
dell,3530_dell,i7,16_gb,512_gb,integrated,No,66500
lenovo,v14_mew,i5,8_gb,512_gb,integrated,No,32500
hp,laptop_hp,i3,8_gb,512_gb,integrated,No,34900
lenovo,think_pad,i5,8_gb,512_gb,integrated,No,52500
hp,fd_0070,i5,8_gb,512_gb,integrated,No,44000
dell,3520_inspiron,i3,8_gb,512_gb,integrated,No,33000
hp,fd_0061,i3,8_gb,512_gb,integrated,No,44000
dell,3440_,i3,8_gb,512_gb,integrated,No,27600
lenovo,v14_,i5,8_gb,512_gb,integrated,No,32000
hp,pavilion_i713th,i7,16_gb,512_gb,intel_iris,No,77990
hp,fy5011tu_hp,i3,8_gb,512_gb,intel_uhd,No,36999
hp,hp_laptop,i5,16_gb,1_tb,integrated,No,67990
hp,16xf0060ax_omen,ryzen_7,8_gb,1_tb,rtx,No,19990
asus,vivobook_16x,i5,16_gb,512_gb,rtx,No,62490
lenovo,v14_intel,i5,8_gb,512_gb,integrated,No,32000
dell,3520_,i5,8_gb,512_gb,integrated,No,44500
hp,250_rg9,i3,8_gb,512_gb,integrated,No,29000
dell,3440latitute_dell,i3,8_gb,512_gb,integrated,No,28000
hp,victus_1278,i5,16_gb,512_gb,rtx,No,78500
dell,3440latitute_dell,i5,8_gb,512_gb,integrated,No,49900
dell,3440_latitute,i3,8_gb,512_gb,integrated,No,28000
hp,fd_0061,i3,8_gb,512_gb,integrated,No,33800
lenovo,thinkpad_e14,i7,16_gb,512_gb,integrated,No,85490
hp,0061tu_hp,i3,8_gb,512_gb,integrated,No,34100
hp,240g9_intel,i5,8_gb,512_gb,integrated,No,44500
hp,250_g9,i3,8_gb,512_gb,integrated,No,29000
hp,240_g9,i3,8_gb,512_gb,integrated,No,29000
hp,15fd1100tu_intel,i5,16_gb,512_gb,integrated,No,78999
hp,14ek2033tu_intel,i5,8_gb,512_gb,integrated,No,67999
hp,245_g10,i5,16_gb,512_gb,amd_radeon,No,60000
dell,g_series,i9,8_gb,1_tb,rtx,No,181490
hp,240r_g9,i5,16_gb,hdd,integrated,No,63999
acer,travelmate_acer,i3,8_gb,1_tb,integrated,No,32000
hp,fd0061tu_intel,i3,8_gb,512_gb,integrated,No,33800
hp,probook_440,i7,16_gb,512_gb,intel_iris,No,62500
hp,pavilion_x360,i5,16_gb,1_tb,intel_iris,No,77589
hp,16ag0019au_amd,ryzen_5,16_gb,512_gb,amd_radeon,No,71900
dell,3440latitute_dell,i5,8_gb,512_gb,integrated,No,50000
hp,pavilion_3018tu,i5,16_gb,1_tb,intel_iris,No,66500
microsoft,surface_studio,i5,16_gb,256_gb,integrated,No,125190
dell,3520_new,i7,16_gb,512_gb,integrated,No,68500
dell,3520_inspiron,i3,8_gb,512_gb,integrated,No,32000
dell,3520_inspiron,i5,8_gb,512_gb,integrated,No,43500
hp,15fe0027tu_i513th,i5,16_gb,512_gb,integrated,No,71499
lenovo,legion_5,ryzen_7,16_gb,512_gb,rtx,No,128499
msi,b13ucxk256in_msi,i7,8_gb,1_tb,nvidia_geforce,No,88590
dell,inspiron_3520,i5,16_gb,1_tb,integrated,No,60999
hp,a1ra6pa_hp,ryzen_5,16_gb,512_gb,amd_radeon,No,72999
hp,15sfq5190tu_i712th,i7,16_gb,512_gb,intel_iris,No,65990
lenovo,v14_g3,i3,16_gb,512_gb,intel_uhd,No,32990
hp,15fy5009tu_hp,i5,16_gb,512_gb,intel_iris,No,51500
lenovo,e14_gen,i7,16_gb,512_gb,integrated,No,82490
hp,255_g9,athlon,6_gb,256_gb,amd_radeon,No,21999
lenovo,thinkbook_16,i5,16_gb,512_gb,integrated,No,53999
lenovo,thinkbook_15,ryzen_7,16_gb,512_gb,amd_radeon,No,57999
hp,victus_i7,i7,8_gb,512_gb,rtx,No,87789
msi,katana_a17,i5,8_gb,512_gb,integrated,No,101500
dell,3520_inspiron,i5,8_gb,512_gb,integrated,No,42500
dell,3520_inspiron,i3,8_gb,512_gb,integrated,No,35000
dell,3440_dell,i5,8_gb,512_gb,integrated,No,50000
dell,3440_dell,i5,8_gb,512_gb,integrated,No,63800
asus,vivobook_14,celeron,8_gb,256_gb,integrated,No,22000
asus,vivobook_x1504,i5,8_gb,512_gb,intel_iris,No,43999
asus,vivobook_x1605zac,i5,16_gb,512_gb,integrated,No,52200
