Brand & Model + Spec,Unit Price,Seller
"ASUS Vivobook 15, IntelCore i7-12650H 12th Gen Laptop (16 GB RAM/512GB SSD/Win11/Office 2021",Rs. 59900,""""
"Dell Inspiron 7430, 2in1 Touch Laptop, Intel Core i7-1355U Processor/16GB/512GB SSD Windows 11 MSO21",Rs. 98000,""""
"Dell Inspiron., 13th Gen Intel Core i5-1334U, 16GB DDR4 RAM, 1TB SSD, Intel UHD Graphics, Backlit Keyboard, Win 11   Office.",Rs. 59000,""""
"Lenovo IdeaPad Slim 3., I7,13Th Gen,16GB RAM,512GB SSD,Windows 11Office Home 2024.,",Rs. 61499,Mashiva Tech.9990666322
"Apple   MacBook Air, (13-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB)",Rs. 139298,""""
"Microsoft  New Surface Laptop, Win11 Home 13.8” LCD PixelSense Touchscreen - Qualcomm Snapdragon X Plus 10 Core - 16GB RAM - 256GB SSD - Platinum - ZGJ-00023",Rs. 113389,Panacea Innovative Technologies9990666334
"HP  Pavilion x360, 13th Gen Intel Core i7-1355U (16GB DDR4, 512GB SSD), Touch screen IPS, 14''(35.6cm) FHD Win 11 Office Home 24 | ek1152TU",Rs. 83998,""""
"Dell G15-5530, Dell G15",Rs. 94999,Mashiva Tech.9990666322
"Dell  3535, Inspiron",Rs. 39999,""""
"Dell  Vostro, Laptop,i5-1235U",Rs. 46999,""""
"Dell  5630, Inspiron",Rs. 83999,""""
"Dell 3530, Inspiron 15",Rs. 67999,""""
"ASUS  Vivobook 15, IntelCore i7-12650H 12th Gen Laptop (16 GB RAM/512GB SSD/Win11/Office 2021",Rs. 59900,""""
"Dell Inspiron 7430, 2in1 Touch Laptop, Intel Core i7-1355U Processor/16GB/512GB SSD Windows 11 MSO21",Rs. 98000,""""
"Lenovo Legion Slim 7, Intel Core i9-13900H 16 Gaming Laptop (16GB/1TB SSD/Win 11/Office 2021/NVIDIA RTX 4060 8GB",Rs. 160000,""""
"Apple  MacBook Air M4, (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB)",Rs. 90980,Panacea Innovative Technologies9990666334
"HP FD-467TU, HP 15, 13th Gen Intel Core i5-1334U Laptop(16GB DDR4, 512GB SSD WIN OFFICE LED 15.6",Rs. 53000,AVS Infomedia6397301845
"DELL 3520 VOSTRO, Dell Vostro 3520 i3 Laptop Core i3 13th 8GB 512GB 15.6 W11 MSO 1 Yr Warranty",Rs. 29900,""""
"DELL 3440 LATITUTE, Dell me lattitude 3440 i3 12 gen // 8GB // 512 // 14 INCH // dos- 1YEAR ADP",Rs. 26000,""""
"HP 255 G10, HP 255 G10 - B21E0PT
Athlon 7120 8GB 256GB 15.6 DOS Black Color 1 Yr Onsite Warranty",Rs. 21000,""""
"HP FD-0465 TU, HP 15-FD0465TU-13th Gen Intel Core i3 8GB 512GB 15.6 FHD W11 MSO24 Silver",Rs. 34500,""""
"Lenovo  Thinkpad E14 Gen5., i7 13th Gen ,16GB RAM,1TB SSD,Windows 11 Home,Backlit Keyboard.",Rs. 91499,Mashiva Tech.9990666322
"HP  15, Intel Core Ultra 5 125H Laptop (16GB DDR5,1TB SSD) IPS, Anti-Glare, Micro-Edge, 15.6''/39.6cm, FHD, Win11 FHD Camera w/Shutter, Backlit, fd1255TU",Rs. 68198,Panacea Innovative Technologies9990666334
"Lenovo IdeaPad Flex 5 14IAU7., Lenovo Smartchoice IdeaPad Flex 5 12th Gen Intel Core i5-1235U 14,16GB,512GB SSD,Win 11.",Rs. 62990,Mashiva Tech.9990666322
"DELL 3440-LATITUTE, Dell lattitude 3440 i5-12 gen // 8GB // 512 // 14 INCH // dos- 1YEAR ADP",Rs. 45000,AVS Infomedia6397301845
"DELL 3440-LATITUTE, Dell me lattitude 3440 i3 12 gen // 8GB // 512 // 14 INCH // dos- 1YEAR ADP",Rs. 26500,""""
"HP HP Laptop., HP 15, Intel Core Ultra 5 125H Laptop,16GB DDR5,1TB SSD, IPS, Anti-Glare, Micro-Edge, 15.6'',39.6cm, FHD, Win11,M365,Office24.",Rs. 69499,Mashiva Tech.9990666322
"Lenovo IdeaPad Slim 5., Lenovo IdeaPad Slim 5 AMD Ryzen AI 7 350, Copilot  AI PC,24GB RAM,1TB SSD,14,WUXGA OLED/AI Now/50TOPS/Win 11/Office Home 2024",Rs. 85499,""""
"DELL 3520 VOSTRO, Dell Vostro 3530 i3 Laptop Core i3 13th 8GB 512GB 15.6 W11 MSO 1 Yr Warranty",Rs. 29900,AVS Infomedia6397301845
"DELL 3520-VOSTRO, Dell Vostro 3520 i5 Laptop Core i5 12th 8GB 512GB 15.6 W11 MSO 1 Yr Warranty",Rs. 42000,""""
"Lenovo IdeaPad Slim 5., IdeaPad Slim 5 AMD Ryzen AI 7 350, Copilot AI PC,24GB RAM,1TB SSD,Win 11,Office Home 2024.",Rs. 85499,Mashiva Tech.9990666322
"HP  FD-0129, HP Laptop 15, Intel® Core™ i3-1315U, 8GB DDR4 Ram,512GB SSD,Intel UHD Graphics, Windows 11 MS Office'2021, Dual Speakers,15.6-inch(39.6 cm),FHD, Matt Silver,1.59 kg,15-fd0129TU",Rs. 35990,AVS Infomedia6397301845
"DELL 3440, Dell me lattitude 3440 i3 12 gen // 8GB // 512 // 14 INCH // dos- 1YEAR ADP",Rs. 26700,""""
"DELL 3520-VOSTRO, Dell Vostro 3520 i5 Laptop Core i5 12th 8GB 512GB 15.6 W11 MSO 1 Yr Warranty",Rs. 42500,""""
"Acer Nitro V., AMD Ryzen 7-7735HS octa-core processor, NVIDIA GeForce RTX 4050- 6 GB GDDR6,16GB DDR5, 512GB,Win 11 Home.",Rs. 76499,Mashiva Tech.9990666322
"Dell Inspiron., 13th Gen Intel Core i5-1334U Processor,16GB, 1TB SSD,FHD Display, Backlit KB, Windows 11 MSO'24.",Rs. 56499,""""
"Dell Inspiron., i7-13620H Processor, 16GB DDR5 512GB SSD,FHD 250nits Display, Backlit KB FPR, Win 11 MSO'21.",Rs. 77499,""""
"HP FY*5007 TU, HP Intel FR5007TU Core i5 12th Gen Thin and Light Laptop (8GB, 512GB, Windows 11 Home, 15.6 inch Full HD IPS Display, MS Office Home and Student 2021, Silver, 1.69 KG)",Rs. 42000,AVS Infomedia6397301845
"DELL 3520 VOSTRO, Dell Vostro 3520 i5 Laptop Core i5 12th 8GB 512GB 15.6 W11 MSO 1 Yr Warranty",Rs. 41500,""""
"DELL 3440 -LATITUTE, Dell lattitude 3440 i5-12 gen // 8GB // 512 // 14 INCH // dos- 1YEAR ADP",Rs. 45000,""""
"HP  Victus, 12th Gen Intel Core i7-12650H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm), FHD, IPS, 144Hz, 16GB DDR4, 1TB SSD, fa0187TX",Rs. 74598,Mashiva Tech.9990666322
"Dell Dell Laptop., 13th Gen Intel Core i5,NVIDIA RTX 3050, 6GB,16GB RAM,1TB SSD, FHD,Window 11,MS Office.",Rs. 74990,""""
"Acer ALG., ALG Gaming Laptop 12th Gen Intel Core i5 Processor,16GB RAM,1TB SSD,4GB RTX2050 Graphics, Win11Home.",Rs. 57990,""""
"LENOVO V15, i3 12 gen / 8GB / 512 / / 15 INCH / dos- 1YEAR",Rs. 27600,AVS Infomedia6397301845
"Lenovo Thinkbook TB14, Thinkbook	TB14 G6	21KGA088IN	i5-1335U/1x 16GB SO-DIMM DDR5-5200/512GB SSD",Rs. 67490,Mashiva Tech.9990666322
"ASUS TUF Gaming F15., TUF Gaming A15, AMD Ryzen 7 7435HS Gaming Laptop,16GB RAM/512GB SSD,Windows 11.",Rs. 63490,""""
"Dell Latitude 3420, i3/12th/8tgb ram/512gb ssd/win11 pro/3 yr warrenty",Rs. 36000,""""
"HP FD-0467 TU, HP 15, 13th Gen Intel Core i5-1334U Laptop(16GB DDR4, 512GB SSD WIN   OFFICE  LED 15.6",Rs. 53000,AVS Infomedia6397301845
"Lenovo LOQ., i5-12450HX, 12th Gen, RTX 3050-6GB, 16GB RAM, 512GB SSD,Windows 11, MS Office 21.",Rs. 70499,Mashiva Tech.9990666322
"Lenovo IdeaPad Slim 5., IdeaPad Slim 5 AMD Ryzen AI 7 350, Copilot  AI PC,24GB RAM,1TB SSD,Win 11,Office Home 2024.",Rs. 85499,""""
"Dell Inspiron., 13th Gen Intel Core i7-1355U Processor,16GB",Rs. 68499,""""
"Dell Inspiron., 13th Gen Intel Core i5-1334U Processor,16GB, 1TB SSD, 15.6,FHD DisplayWindows 11   MSO'24.",Rs. 57490,""""
"DELL 3530-INSPIRON, Dell Vostro 3530 i5 Laptop Core i5 13th 8GB 512GB 15.6 W11 MSO 1 Yr Warranty",Rs. 46000,AVS Infomedia6397301845
"DELL 3520-VOSTRO, Dell Vostro 3520 i5 Laptop Core i5 12th 8GB 512GB 15.6 W11 MSO 1 Yr Warranty",Rs. 41500,""""
"DELL 3440-LATITUTE, Dell me lattitude 3440 i3 12 gen // 8GB // 512 // 14 INCH // dos- 1YEAR ADP",Rs. 26500,""""
